time,open,high,low,close,color,moving_average,color_moving_average
1732582080,2621.57,2621.57,2620.71,2621.17,#450C69,2617.3506000000007,#26a69a
1732582140,2621.28,2622.27,2620.71,2622.27,,2617.5524000000005,#26a69a
1732582200,2621.85,2622.17,2621.85,2622.17,,2617.7576000000004,#26a69a
1732582260,2621.87,2622.05,2621.87,2622.01,,2617.9706,#26a69a
1732582320,2622.54,2622.54,2622.4,2622.4,,2618.113,#26a69a
1732582380,2622.01,2622.01,2620.69,2620.69,,2618.3091999999997,#26a69a
1732582440,2620.0,2621.78,2620.0,2620.13,#450C69,2618.5278,#26a69a
1732582500,2619.78,2620.81,2619.78,2620.81,,2618.7389999999996,#26a69a
1732582560,2620.97,2620.97,2619.78,2620.89,#450C69,2618.9581999999996,#26a69a
1732582620,2621.09,2621.09,2620.94,2620.94,,2619.1619999999994,#26a69a
1732582680,2620.89,2621.16,2619.88,2619.88,,2619.334799999999,#26a69a
1732582740,2619.94,2621.16,2619.87,2619.87,#450C69,2619.5553999999993,#26a69a
1732582800,2619.81,2621.39,2619.81,2621.39,,2619.831999999999,#26a69a
1732582860,2621.97,2624.04,2619.81,2624.04,#450C69,2620.002199999999,#26a69a
1732582920,2620.53,2621.42,2620.53,2621.42,,2620.2085999999995,#26a69a
1732582980,2621.71,2621.85,2620.63,2621.85,#450C69,2620.4284,#26a69a
1732583040,2621.58,2621.89,2621.18,2621.89,#450C69,2620.6813999999995,#26a69a
1732583100,2622.64,2622.86,2622.64,2622.86,,2620.9297999999994,#26a69a
1732583160,2624.46,2624.46,2622.49,2623.04,,2621.2115999999996,#26a69a
1732583220,2623.7,2624.92,2623.7,2624.92,,2621.4819999999995,#26a69a
1732583280,2623.04,2626.12,2623.04,2625.69,,2621.7659999999996,#26a69a
1732583340,2625.33,2625.89,2623.79,2625.89,#450C69,2622.0357999999997,#26a69a
1732583400,2627.16,2627.93,2627.16,2627.93,,2622.1818,#26a69a
1732583460,2627.1,2628.09,2627.1,2628.09,,2622.3238,#26a69a
1732583520,2628.82,2628.82,2628.31,2628.31,,2622.3968,#26a69a
1732583580,2627.11,2627.54,2625.88,2625.88,,2622.4267999999997,#26a69a
1732583640,2624.73,2627.54,2624.68,2624.68,#450C69,2622.511,#26a69a
1732583700,2625.59,2625.59,2625.52,2625.52,,2622.6162,#26a69a
1732583760,2625.26,2627.03,2625.26,2627.03,,2622.7486,#26a69a
1732583820,2627.0,2627.75,2627.0,2627.75,,2622.8874,#26a69a
1732583880,2625.27,2628.0,2625.27,2628.0,,2623.0242,#26a69a
1732583940,2628.48,2628.6,2625.91,2628.6,#450C69,2623.0906,#26a69a
1732584000,2627.93,2627.93,2627.1,2627.1,,2623.1388,#26a69a
1732584060,2626.91,2627.93,2625.55,2625.55,,2623.2236,#26a69a
1732584120,2626.21,2626.51,2626.21,2626.51,,2623.2936,#26a69a
1732584180,2626.9,2626.9,2625.95,2625.95,,2623.3795999999998,#26a69a
1732584240,2626.16,2626.62,2626.16,2626.62,,2623.4716,#26a69a
1732584300,2625.5,2625.63,2625.5,2625.63,,2623.5454,#26a69a
1732584360,2625.01,2626.02,2624.31,2624.31,#450C69,2623.618,#26a69a
1732584420,2625.05,2625.05,2624.5,2624.5,,2623.7056,#26a69a
1732584480,2625.0,2625.87,2625.0,2625.87,,2623.7512,#26a69a
1732584540,2626.44,2626.66,2624.52,2624.52,,2623.8418,#26a69a
1732584600,2626.88,2626.88,2626.59,2626.59,,2623.9576,#26a69a
1732584660,2626.56,2627.37,2625.31,2627.37,#450C69,2624.0798,#26a69a
1732584720,2627.89,2627.89,2627.86,2627.86,,2624.2513999999996,#26a69a
1732584780,2626.32,2630.36,2626.32,2630.36,,2624.4516,#26a69a
1732584840,2631.0,2631.84,2631.0,2631.84,,2624.6259999999997,#26a69a
1732584900,2631.47,2631.47,2630.31,2630.31,,2624.7817999999993,#26a69a
1732584960,2628.96,2631.65,2628.96,2629.36,#450C69,2624.963599999999,#26a69a
1732585020,2629.92,2629.92,2629.92,2629.92,#450C69,2625.1267999999995,#26a69a
1732585080,2629.56,2630.11,2629.33,2629.33,#450C69,2625.267999999999,#26a69a
1732585140,2628.86,2629.33,2628.86,2629.33,,2625.3775999999993,#26a69a
1732585200,2628.05,2628.05,2627.65,2627.65,,2625.504999999999,#26a69a
1732585260,2627.77,2628.84,2627.77,2628.38,,2625.6584,#26a69a
1732585320,2629.39,2630.07,2629.39,2630.07,,2625.8319999999994,#26a69a
1732585380,2627.78,2629.65,2627.78,2629.37,,2626.0283999999997,#26a69a
1732585440,2629.62,2629.95,2629.62,2629.95,,2626.2119999999995,#26a69a
1732585500,2629.91,2629.99,2629.91,2629.99,,2626.3819999999996,#26a69a
1732585560,2629.76,2629.91,2629.39,2629.39,,2626.5278,#26a69a
1732585620,2629.03,2629.03,2628.23,2628.23,,2626.7001999999998,#26a69a
1732585680,2629.39,2629.39,2628.29,2628.5,,2626.8727999999996,#26a69a
1732585740,2627.07,2628.5,2627.06,2628.5,,2626.9865999999997,#26a69a
1732585800,2626.66,2627.08,2626.66,2627.08,,2627.0651999999995,#26a69a
1732585860,2629.02,2629.02,2626.66,2627.97,#450C69,2627.1981999999994,#26a69a
1732585920,2628.07,2628.07,2628.07,2628.07,#450C69,2627.2759999999994,#26a69a
1732585980,2628.13,2628.13,2625.74,2625.74,,2627.3629999999994,#26a69a
1732586040,2626.08,2626.24,2626.08,2626.24,,2627.427399999999,#26a69a
1732586100,2627.24,2627.24,2626.08,2626.08,,2627.4975999999997,#26a69a
1732586160,2626.44,2626.55,2626.44,2626.55,,2627.5375999999997,#26a69a
1732586220,2626.61,2626.92,2626.61,2626.92,,2627.5635999999995,#26a69a
1732586280,2626.55,2626.99,2626.45,2626.99,,2627.6017999999995,#26a69a
1732586340,2627.18,2627.8,2627.18,2627.8,,2627.586799999999,#ef5350
1732586400,2626.46,2627.97,2626.46,2627.18,#450C69,2627.5971999999992,#26a69a
1732586460,2628.0,2628.61,2627.01,2628.61,#450C69,2627.595799999999,#ef5350
1732586520,2628.82,2628.82,2628.24,2628.24,,2627.641599999999,#26a69a
1732586580,2627.26,2628.23,2627.26,2628.17,,2627.708999999999,#26a69a
1732586640,2628.12,2628.12,2628.05,2628.05,,2627.7623999999987,#26a69a
1732586700,2628.16,2628.19,2628.15,2628.19,,2627.7917999999986,#26a69a
1732586760,2627.88,2628.5,2627.88,2628.5,,2627.8071999999984,#26a69a
1732586820,2627.93,2628.52,2627.93,2628.52,,2627.8113999999982,#26a69a
1732586880,2627.89,2628.21,2627.89,2628.21,,2627.7963999999984,#ef5350
1732586940,2627.9,2627.9,2627.85,2627.85,,2627.820999999998,#26a69a
1732587000,2628.21,2628.33,2628.12,2628.33,,2627.8793999999975,#26a69a
1732587060,2628.42,2628.47,2628.12,2628.47,#450C69,2627.935999999998,#26a69a
1732587120,2629.06,2629.34,2629.06,2629.34,,2627.987999999998,#26a69a
1732587180,2628.47,2628.89,2628.47,2628.55,#450C69,2628.021799999998,#26a69a
1732587240,2628.38,2628.38,2628.31,2628.31,,2628.080999999998,#26a69a
1732587300,2628.34,2628.59,2628.34,2628.59,,2628.1661999999983,#26a69a
1732587360,2629.14,2629.14,2628.34,2628.57,,2628.250999999998,#26a69a
