start,end,high_risk,low_risk,high_reward,low_reward,direction
1732586520,1732586550.0,2628.61,2627.01,2627.01,2622.2100000000005,Short
1732587120,1732587720.0,2628.47,2628.12,2629.5199999999995,2628.47,Long
1732588020,1732588140.0,2629.82,2628.82,2628.82,2625.82,Short
1732588620,1732588800.0,2628.85,2628.02,2631.3399999999997,2628.85,Long
1732588920,1732588950.0,2629.07,2627.84,2627.84,2624.15,Short
1732589040,1732589070.0,2626.99,2626.19,2626.19,2623.790000000001,Short
1732589220,1732591860.0,2627.09,2625.44,2625.44,2620.49,Short
1732592040,1732594560.0,2628.76,2627.1,2633.740000000001,2628.76,Long
1732594680,1732594860.0,2628.79,2628.59,2629.3899999999994,2628.79,Long
1732595040,1732595100.0,2628.94,2628.58,2630.0200000000004,2628.94,Long
1732595640,1732600620.0,2627.21,2625.9,2625.9,2621.9700000000003,Short
1732601100,1732601760.0,2624.18,2623.12,2627.3599999999997,2624.18,Long
1732601880,1732603500.0,2624.57,2623.84,2626.76,2624.57,Long
1732603560,1732605180.0,2622.18,2621.86,2621.86,2620.900000000001,Short
1732605900,1732609080.0,2619.87,2619.52,2619.52,2618.4700000000003,Short
1732609200,1732609740.0,2616.65,2616.25,2617.8500000000004,2616.65,Long
1732609800,1732609830.0,2615.4,2613.86,2613.86,2609.2400000000002,Short
1732609920,1732611360.0,2614.54,2614.06,2615.98,2614.54,Long
1732611420,1732612020.0,2616.54,2615.16,2615.16,2611.0199999999995,Short
1732612320,1732619220.0,2619.49,2615.81,2630.5299999999993,2619.49,Long
1732619640,1732619670.0,2628.48,2627.7,2627.7,2625.359999999999,Short
1732619820,1732620000.0,2630.25,2629.91,2631.2700000000004,2630.25,Long
1732620120,1732620240.0,2629.81,2629.64,2630.32,2629.81,Long
1732621020,1732621560.0,2631.94,2631.22,2634.100000000001,2631.94,Long
1732621740,1732621770.0,2631.72,2631.11,2633.549999999999,2631.72,Long
1732621860,1732621890.0,2631.53,2631.1,2631.1,2629.809999999999,Short
1732622040,1732623720.0,2632.25,2631.73,2633.81,2632.25,Long
1732623840,1732624080.0,2631.65,2631.03,2631.03,2629.1700000000005,Short
1732624140,1732624170.0,2630.98,2629.63,2635.0299999999997,2630.98,Long
1732624740,1732624860.0,2632.66,2632.41,2633.41,2632.66,Long
1732625340,1732626000.0,2631.74,2631.22,2631.22,2629.66,Short
1732626360,1732627740.0,2638.63,2634.71,2650.3900000000003,2638.63,Long
1732627980,1732628100.0,2633.4,2631.51,2639.0699999999997,2633.4,Long
1732628460,1732628760.0,2632.21,2631.59,2634.0699999999997,2632.21,Long
1732629180,1732630740.0,2627.71,2624.52,2624.52,2614.95,Short
1732630980,1732631040.0,2633.05,2631.28,2638.36,2633.05,Long
1732631160,1732631190.0,2633.25,2632.26,2636.2199999999993,2633.25,Long
1732631280,1732634460.0,2632.18,2630.33,2630.33,2624.78,Short
1732634580,1732638300.0,2625.77,2625.09,2627.8099999999995,2625.77,Long
1732638480,1732639140.0,2629.6,2627.78,2627.78,2622.320000000001,Short
1732639800,1732639860.0,2629.54,2628.96,2631.2799999999997,2629.54,Long
1732640100,1732640340.0,2630.4,2629.15,2634.15,2630.4,Long
1732640400,1732641420.0,2629.22,2628.71,2628.71,2627.1800000000007,Short
1732641480,1732641510.0,2627.32,2626.55,2629.63,2627.32,Long
1732641900,1732643820.0,2626.16,2624.99,2624.99,2621.4799999999996,Short
1732644000,1732647060.0,2626.33,2625.22,2625.22,2621.8899999999994,Short
1732647900,1732657500.0,2626.11,2625.01,2629.41,2626.11,Long
1732657740,1732658400.0,2632.14,2631.68,2633.52,2632.14,Long
1732662420,1732663800.0,2631.42,2629.9,2629.9,2625.34,Short
1732663980,1732664340.0,2632.88,2631.38,2637.38,2632.88,Long
1732664580,1732664610.0,2631.88,2630.5,2630.5,2626.3599999999997,Short
1732665240,1732666260.0,2632.01,2631.6,2633.240000000001,2632.01,Long
1732666620,1732670400.0,2631.36,2630.45,2630.45,2627.719999999999,Short
1732670520,1732677240.0,2630.62,2629.0,2635.4799999999996,2630.62,Long
1732677300,1732677840.0,2636.55,2636.06,2636.06,2634.5899999999992,Short
1732677900,1732678200.0,2636.97,2636.39,2638.7099999999996,2636.97,Long
1732678320,1732678740.0,2639.18,2638.62,2638.62,2636.94,Short
1732679520,1732679700.0,2638.27,2637.87,2637.87,2636.6699999999996,Short
1732679820,1732680360.0,2638.31,2638.04,2639.12,2638.31,Long
1732680540,1732680900.0,2637.16,2635.8,2641.239999999999,2637.16,Long
1732681140,1732681320.0,2637.69,2636.5,2636.5,2632.93,Short
1732681680,1732684380.0,2638.64,2638.64,2638.64,2638.64,Long
1732684440,1732684980.0,2638.81,2638.64,2638.64,2638.1299999999997,Short
1732685160,1732685220.0,2639.97,2639.62,2639.62,2638.57,Short
1732685820,1732687740.0,2643.69,2642.29,2647.8900000000003,2643.69,Long
1732687860,1732687890.0,2640.44,2639.03,2644.6699999999996,2640.44,Long
1732688160,1732688340.0,2641.69,2640.03,2646.6699999999996,2641.69,Long
1732688580,1732688610.0,2641.17,2640.88,2640.88,2640.01,Short
1732688760,1732689060.0,2644.04,2641.32,2652.1999999999994,2644.04,Long
1732689180,1732689900.0,2644.0,2643.52,2643.52,2642.08,Short
1732690080,1732693680.0,2643.41,2643.01,2644.6099999999988,2643.41,Long
1732694160,1732694460.0,2646.92,2646.04,2646.04,2643.3999999999996,Short
1732694580,1732694610.0,2647.56,2646.23,2646.23,2642.2400000000002,Short
1732694760,1732695180.0,2647.43,2646.87,2649.1099999999997,2647.43,Long
1732695360,1732695480.0,2646.37,2646.12,2646.12,2645.37,Short
1732695780,1732696080.0,2648.39,2646.8,2646.8,2642.030000000001,Short
1732696560,1732696590.0,2648.01,2647.89,2648.3700000000013,2648.01,Long
1732696800,1732696830.0,2646.61,2645.37,2645.37,2641.649999999999,Short
